 
27-02-2010 23:40:09 | POST protect | IP: 92.158.199.225 ] | DNS: ARennes-554-1-165-225.w92-158.abo.wanadoo.fr | Agent: Mozilla/5.0 (Windows; U; Windows NT 6.1; fr; rv:1.9.2) Gecko/20100115 Firefox/3.6 | URL: /parweb/pwbcms/admin:module/add/ | Referer: http://www.parweb.fr/parweb/pwbcms/admin:module/add/
3-02-2011 11:36:23 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

3-02-2011 14:20:07 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

3-02-2011 14:36:22 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

3-02-2011 17:20:16 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

3-02-2011 17:36:21 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

3-02-2011 20:20:15 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

3-02-2011 20:36:20 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

3-02-2011 23:20:25 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

3-02-2011 23:36:21 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

4-02-2011 02:20:33 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

4-02-2011 02:37:14 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

4-02-2011 05:21:13 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

4-02-2011 05:37:18 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

4-02-2011 08:21:22 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

4-02-2011 08:37:26 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

4-02-2011 11:09:05 | POST protect | IP: 147.210.94.20 ] | DNS: ord-trasi.iut.u-bordeaux1.fr | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3 ( .NET CLR 3.5.30729) | URL: /twirling/page/edit/page_id:15/ | Referer: http://parweb.fr/twirling/page/edit/page_id:15/

4-02-2011 11:21:31 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

4-02-2011 11:37:26 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

4-02-2011 12:18:19 | POST protect | IP: 147.210.94.20 ] | DNS: ord-trasi.iut.u-bordeaux1.fr | Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; fr; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3 ( .NET CLR 3.5.30729) | URL: /twirling/page/edit/page_id:15/ | Referer: http://parweb.fr/twirling/page/edit/page_id:15/

4-02-2011 14:21:44 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

4-02-2011 14:37:34 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

4-02-2011 17:21:49 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

4-02-2011 17:37:34 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

4-02-2011 20:21:58 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

4-02-2011 20:37:35 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

4-02-2011 23:22:07 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

4-02-2011 23:37:41 | IPs Spam list | IP: 209.85.238.216 ] | DNS: rate-limited-proxy-209-85-238-216.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

5-02-2011 02:22:16 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

5-02-2011 02:37:41 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

5-02-2011 05:22:25 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

5-02-2011 05:37:41 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

5-02-2011 08:22:23 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

5-02-2011 08:37:48 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

5-02-2011 11:22:23 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

5-02-2011 11:37:48 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

5-02-2011 14:22:32 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

5-02-2011 14:37:56 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

5-02-2011 17:22:40 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

5-02-2011 17:37:55 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

5-02-2011 20:22:40 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

5-02-2011 20:38:00 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

5-02-2011 23:22:48 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

5-02-2011 23:38:03 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

6-02-2011 02:22:57 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

6-02-2011 02:38:04 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

6-02-2011 05:23:06 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

6-02-2011 05:38:09 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=14495953095977329908) | URL: /twirling/actu/rss/ | Referer: no referer

6-02-2011 08:23:15 | Bots attack | IP: 72.14.199.198 ] | DNS: rate-limited-proxy-72-14-199-198.google.com | Agent: Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=3847763105232582599) | URL: /twirling/actu/rss | Referer: no referer

